Section 1 MH_78_0_V2																																																																																																												
																																																																																																												
Section 4 NASA SC(2)-0410																																																																																																												
<UpperPnts>	6.00E-05	-1.33E-03	0.00E+00	3.40E-04	3.17E-03	0.00E+00	2.13E-03	7.83E-03	0.00E+00	5.76E-03	1.23E-02	0.00E+00	1.15E-02	1.65E-02	0.00E+00	1.98E-02	2.06E-02	0.00E+00	3.19E-02	2.47E-02	0.00E+00	5.04E-02	2.92E-02	0.00E+00	7.80E-02	3.39E-02	0.00E+00	1.12E-01	3.81E-02	0.00E+00	1.48E-01	4.15E-02	0.00E+00	1.85E-01	4.41E-02	0.00E+00	2.22E-01	4.62E-02	0.00E+00	2.60E-01	4.78E-02	0.00E+00	2.98E-01	4.89E-02	0.00E+00	3.37E-01	4.96E-02	0.00E+00	3.77E-01	5.00E-02	0.00E+00	4.16E-01	5.00E-02	0.00E+00	4.55E-01	4.98E-02	0.00E+00	4.93E-01	4.91E-02	0.00E+00	5.32E-01	4.81E-02	0.00E+00	5.70E-01	4.68E-02	0.00E+00	6.09E-01	4.50E-02	0.00E+00	6.47E-01	4.27E-02	0.00E+00	6.86E-01	4.00E-02	0.00E+00	7.24E-01	3.68E-02	0.00E+00	7.63E-01	3.33E-02	0.00E+00	8.01E-01	2.95E-02	0.00E+00	8.40E-01	2.52E-02	0.00E+00	8.79E-01	2.06E-02	0.00E+00	9.17E-01	1.58E-02	0.00E+00	9.53E-01	1.09E-02	0.00E+00	9.84E-01	6.01E-03	0.00E+00	1.00E+00	3.20E-03	0.00E+00						
<LowerPnts>	6.00E-05	-1.33E-03	0.00E+00	1.20E-03	-5.92E-03	0.00E+00	4.04E-03	-1.05E-02	0.00E+00	8.91E-03	-1.48E-02	0.00E+00	1.61E-02	-1.89E-02	0.00E+00	2.63E-02	-2.30E-02	0.00E+00	4.19E-02	-2.73E-02	0.00E+00	6.58E-02	-3.20E-02	0.00E+00	9.85E-02	-3.67E-02	0.00E+00	1.35E-01	-4.06E-02	0.00E+00	1.73E-01	-4.37E-02	0.00E+00	2.11E-01	-4.60E-02	0.00E+00	2.48E-01	-4.77E-02	0.00E+00	2.86E-01	-4.88E-02	0.00E+00	3.25E-01	-4.94E-02	0.00E+00	3.63E-01	-4.97E-02	0.00E+00	4.02E-01	-4.95E-02	0.00E+00	4.40E-01	-4.88E-02	0.00E+00	4.77E-01	-4.75E-02	0.00E+00	5.14E-01	-4.58E-02	0.00E+00	5.51E-01	-4.31E-02	0.00E+00	5.88E-01	-3.92E-02	0.00E+00	6.24E-01	-3.46E-02	0.00E+00	6.60E-01	-2.94E-02	0.00E+00	6.99E-01	-2.31E-02	0.00E+00	7.40E-01	-1.66E-02	0.00E+00	7.79E-01	-1.03E-02	0.00E+00	8.16E-01	-5.00E-03	0.00E+00	8.52E-01	-3.80E-04	0.00E+00	8.88E-01	2.97E-03	0.00E+00	9.22E-01	4.32E-03	0.00E+00	9.55E-01	3.40E-03	0.00E+00	9.85E-01	6.30E-04	0.00E+00	1.00E+00	-1.70E-03	0.00E+00						
																																																																																																												
Section 1 MH_78_0_V2	<UpperPnts>	<LowerPnts>			Section 2 MH_78_1_V2	<UpperPnts>	<LowerPnts>			Section 3 NASA SC(2)-0414	<UpperPnts>	<LowerPnts>		Section 4 NASA SC(2)-0410	<UpperPnts>	<LowerPnts>																																																																																												
	5.00E-05	5.00E-05	a			1.10E-04	1.10E-04	a			1.20E-04	1.20E-04	a		6.00E-05	6.00E-05	a																																																																																											
	4.12E-03	4.12E-03	b			-2.11E-03	-2.11E-03	b			2.64E-03	2.64E-03	b		-1.33E-03	-1.33E-03	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	1.17E-03	3.90E-04	a			1.46E-03	4.10E-04	a			1.23E-03	1.70E-04	a		3.40E-04	1.20E-03	a																																																																																											
	1.35E-02	-1.50E-03	b			1.30E-02	-4.67E-03	b			8.53E-03	-3.16E-03	b		3.17E-03	-5.92E-03	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	5.88E-03	1.07E-03	a			6.55E-03	1.01E-03	a			3.72E-03	1.39E-03	a		2.13E-03	4.04E-03	a																																																																																											
